brand_clean,category_level_1,review_count
Weleda,Personal Care,8
Sinful,Personal Care,8
Kohler,Home Improvement,8
Nojo,Baby,8
Lite Source,Home,8
Wild Planet,Food,8
Soft Scrub,Household Chemicals,8
Baxter Of California,Personal Care,8
Biokleen,Household Chemicals,8
Bestway,Sports & Outdoors,8
Northwest,Home,8
Barielle,Personal Care,8
Summit Entertainment,Movies,7
Nature'S Path,Food,7
Pinaud,Personal Care,7
Warner Manufacturing,Movies,7
Caribou Coffee,Food & Beverage,7
Cetaphil,Personal Care,7
Sea Gull Lighting,Home,7
Tim Holtz,Home,7
Sony,Movies,7
D-Con,Household Essentials,7
Starbucks,Food & Beverage,7
Universal,Movies & TV Shows,6
Tillamook,Food,6
Soothing Touch,Personal Care,6
South Shore,Furniture,6
Trend,School & Office Supplies,6
4C Foods,Food,6
Lay'S,Food,6
Attitude,Household Chemicals,6
Attwood,Sports & Outdoors,6
Murray Cookies,Food,6
Bedtime Originals,Baby,6
Brownline,School & Office Supplies,6
Newman'S Own Organics,Food,6
Gain,Household Essentials,6
Hollywood Beauty,Personal Care,6
J. Hunt,Home,5
Reebok,Clothing,5
Klondike,Food,5
Kikkoman,Food,5
Karaoke Usa,Musical Instruments & Karaoke,5
Safavieh,Home,5
Hidden Valley,Food & Beverage,5
Fiskars,Home,5
Plano,Sports & Outdoors,5
Teenage Mutant Ninja Turtles,Kids' Rooms,5
Wagan,Home,5
Badger,Personal Care,5
Wish-Bone,Food,5
Suncoat,Personal Care,5
Mario Badescu,Personal Care,5
Moom,Personal Care,5
Naturtint,Personal Care,5
Petmaker,Pets,4
Hex Performance,Household Essentials,4
International Concepts,Home,4
Skittles,Food & Beverage,4
Smart Start,Food,4
Snyder'S Of Hanover,Food,4
Sony,Photography,4
Home Health,Personal Care,4
Ore International,Home,4
Kenroy Home,Home,4
The Honest Company,Personal Care,4
Toy Story,Holiday Shop,4
Tramontina,Kitchen & Dining,4
Cantu,Beauty,4
One Grace Place,Home,4
Voortman,Food,4
Beanitos,Food,4
Ambi,Personal Care,4
Simple Green,Household Chemicals,4
General Electric,Home,4
La Tourangelle,Food & Beverage,4
Nourish Organic,Personal Care,3
Isoplus,Personal Care,3
Clearly Natural,Personal Care,3
Cococare,Personal Care,3
Lynk,Kitchen & Dining,3
Swingline,School & Office Supplies,3
Swann,Home,3
No Brand,Home,3
Neato Robotics,Home,3
Mgm,Movies,3
Honeybee Gardens,Personal Care,3
Olivella,Personal Care,3
Chips Deluxe,Food,3
Alberto Vo5,Personal Care,3
Jack Link'S,Food,3
Advantage,Home,3
John Frieda,Personal Care,2
Herbatint,Personal Care,2
Sebastian,Personal Care,2
Haagen-Dazs,Food,2
Mission Foods,Food,2
Ortega,Food,2
Universal,Movies,2
Caldrea,Household Chemicals,2
Wet N Wild,Personal Care,2
Pirate'S Booty,Food,2
Calvin Klein,Personal Care,2
Trend Lab,Home,2
Plum Organics,Food,2
Peppa Pig,Household Essentials,2
Coola,Personal Care,2
Ruffles,Food & Beverage,2
Adesso,Home,2
Maple Grove Farms Of Vermont,Food,2
Uttermost,Home,2
Hagerty,Accessories,2
Batherapy,Personal Care,2
Baxton Studio,Furniture,2
American Greetings,Holiday Shop,2
Reynolds,Household Essentials,2
Rc Cola,Food,2
Hunter Fan,Home,2
Smooth 'N Shine,Beauty,2
Bareminerals,Personal Care,2
Ocean Potion,Personal Care,2
On-Stage,Pro Audio,2
Universal Music,Movies,1
Black Opal,Personal Care,1
Alera,Furniture,1
Amy'S,Food & Beverage,1
Mineral Fusion,Personal Care,1
Yosemite Home Decor,Home,1
Noosa,Food,1
Cheez-It,Food,1
Carson-Dellosa Publishing,School & Office Supplies,1
Pillow Perfect,Patio & Garden,1
Avery,School & Office Supplies,1
Baby Jogger,Baby,1
Black Radiance,Personal Care,1
Bodycology,Personal Care,1
Udi'S,Food,1
No-Ad,Personal Care,1
Wilton,Kitchen & Dining,1
Touch Of Color,Party & Occasions,1
Cal Lighting,Home,1
Yardley,Personal Care,1
Body Fantasies,Personal Care,1
Bosch,Home Improvement,1
Nordicware,Party & Occasions,1
Walkers,Food,1
Bebe Au Lait,Baby,1
National Mfg.,Kitchen & Dining,1
Chesapeake Merch Inc,Home,1
Rizzy Home,Home,1
Horizon,Food & Beverage,1
Hortense B. Hewitt,Party Supplies,1
Hubba Bubba,Food & Beverage,1
Sobe,Food,1
La Tortilla Factory,Food,1
Sloan Valve Company,Home Improvement,1
Pearhead,Gift Finder,1
Imagine Foods,Food,1
Inc International Concepts,Furniture,1
Season Seafood,Food,1
Timekeeper,Home,1
Istarusa,Pro Audio,1
Scotty,Sports & Outdoors,1
Pacific Natural Foods,Food,1
Jake And The Neverland Pirates,Home,1
Sanrio,Featured Brands,1
Jnh Lifestyles,Patio & Garden,1
Safavieh,Patio & Garden,1
Palladio,Personal Care,1
Natralia,Personal Care,1
Honey Bunches Of Oats,Food,1
Ldr,Home Improvement,1
Lucy'S,Food,1
Porcelana,Personal Care,1
Citrus Magic,Household Chemicals,1
Creative Converting,Party Supplies,1
Dremel,Home Improvement,1
E.L.F.,Personal Care,1
Teamson,Home,1
Peak,Home,1
Every Man Jack,Personal Care,1
Suzie'S,Food,1
Fan Mats,Sports & Outdoors,1
Organic Root Stimulator,Personal Care,1
Fangio Lighting,Home,1
Fit System,Auto & Tires,1
Gone Fishing,Sports & Outdoors,1
Stonyfield,Food,1
Guardian,Home,1
Healthy Skoop,Health,1
Heinz,Food,1
Southern Enterprises,Furniture,1
Herr'S,Food,1
Ecotrin,Health,1
