brand_clean,category_level_1,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_count,negative_count,base_score,recommendation_score
Cerave,Personal Care,4.76,0.913,96.0,25,24,1,0.8261700325107221,0.9761700325107221
Cetaphil,Beauty,3.404,0.596,4.255,47,30,8,0.41741885298162695,0.11741885298162694
Cetaphil,Personal Care,4.429,0.906,100.0,7,7,0,0.7938521092642571,0.9438521092642571
Cheetos,Food,4.733,0.917,95.0,60,57,2,0.8416444510954735,0.9916444510954735
Cheez-It,Food,2.0,0.485,0.0,1,0,0,0.23655070308808568,0.03655070308808567
Chesapeake Merch Inc,Home,5.0,0.7,0.0,1,1,0,0.44030070308808567,0.34030070308808563
Chester'S,Food,4.81,0.918,93.855,179,173,4,0.8661956198064958,0.9161956198064959
Chex,Food,4.379,0.85,89.655,29,26,2,0.7754938760891259,0.8254938760891259
Chi,Personal Care,4.857,0.799,14.286,14,14,0,0.5452361730010402,0.4452361730010402
Chips Ahoy,Food & Beverage,4.408,0.834,85.915,71,62,7,0.7810491905228254,0.7310491905228255
Chips Deluxe,Food,4.0,0.652,66.667,3,2,1,0.5936024061761713,0.5936024061761713
Chobani,Food & Beverage,4.4,0.833,88.0,25,22,3,0.7641700325107221,0.7141700325107222
Cinnamon Toast Crunch,Food,4.787,0.92,96.85,127,123,1,0.8670049216165998,1.0
Citrus Magic,Household Chemicals,5.0,0.962,100.0,1,1,0,0.8058007030880857,1.0
Clear Scalp & Hair Therapy,Personal Care,2.817,0.578,45.093,377,184,115,0.5516373291012178,0.2516373291012177
Clearly Natural,Personal Care,5.0,0.771,0.0,3,3,0,0.47335140617617133,0.3733514061761713
Clorox,Household Chemicals,4.842,0.947,97.851,2094,2079,10,0.9412115952715763,0.9912115952715764
Clorox,Household Essentials,4.821,0.947,99.373,8606,8583,11,0.975919,1.0
Cococare,Personal Care,4.667,0.896,100.0,3,3,0,0.7879514061761713,1.0
Colorbok,Home,4.0,0.777,76.923,13,10,2,0.6832742072133651,0.6832742072133651
Colorganics,Personal Care,4.889,0.759,0.0,9,9,0,0.48502783545984174,0.3850278354598417
Conair,Beauty,4.519,0.87,86.076,79,73,5,0.7984079447240988,0.8484079447240989
Concept Housewares,Kitchen & Dining,4.75,0.954,100.0,8,8,0,0.8245020812585685,1.0
Coola,Personal Care,5.0,0.833,50.0,2,2,0,0.6325010406292841,0.7825010406292842
Coty,Personal Care,4.629,0.893,92.453,159,147,10,0.8440896478121844,0.8940896478121845
Covergirl,Personal Care,3.967,0.65,0.0,30,25,2,0.4366526867853192,0.2366526867853192
Cream Of Wheat,Food,4.946,0.949,94.643,56,56,0,0.8577263182521946,1.0
Creative Converting,Party Supplies,5.0,0.99,100.0,1,1,0,0.8128007030880857,1.0
Creme Of Nature,Personal Care,3.917,0.753,66.667,12,9,2,0.6407203294226363,0.6407203294226363
Criterion Collection Inc,Movies,4.923,0.909,71.795,39,39,0,0.770214241636013,0.9202142416360131
Cuisinart,Kitchen & Dining,4.388,0.85,78.448,116,107,6,0.7723654106812048,0.7223654106812049
Curel,Personal Care,4.519,0.888,92.593,81,77,3,0.8230040155897254,0.8730040155897254
D-Con,Household Essentials,2.571,0.475,42.857,7,3,4,0.42177310926425704,0.12177310926425702
Delta Faucet,Home Improvement,4.417,0.782,37.5,24,22,0,0.599904264743512,0.399904264743512
Dermalogica,Personal Care,4.733,0.726,0.0,15,14,0,0.4793528123523427,0.3793528123523427
Disney,Featured Brands,4.917,0.933,83.333,24,24,0,0.8001532647435119,0.9501532647435119
Disney,Movies,4.722,0.937,98.31,3668,3614,22,0.9464582445818865,0.9964582445818867
Dremel,Home Improvement,1.0,0.162,0.0,1,0,1,0.10580070308808569,0.0
E.L.F.,Personal Care,5.0,0.778,0.0,1,1,0,0.4598007030880857,0.3598007030880857
Eagle Brand,Food,4.867,0.955,100.0,15,15,0,0.8433028123523427,1.0
Early California,Food,4.294,0.771,47.059,17,15,0,0.6124297843466541,0.41242978434665406
Ecotrin,Health,2.0,0.36,0.0,1,0,0,0.20530070308808568,0.005300703088085668
Eggo,Food & Beverage,4.778,0.933,100.0,27,27,0,0.8457059103014506,1.0
Era,Household Chemicals,4.909,0.974,100.0,11,11,0,0.8438024468054557,1.0
Every Man Jack,Personal Care,5.0,0.958,100.0,1,1,0,0.8048007030880857,1.0
Fan Mats,Sports & Outdoors,4.0,0.675,0.0,1,1,0,0.3840507030880857,0.1840507030880857
Fangio Lighting,Home,5.0,0.986,100.0,1,1,0,0.8118007030880857,1.0
Feit,Home,2.667,0.484,0.0,9,3,1,0.3051778354598417,0.10517783545984166
Fiber One,Food & Beverage,4.821,0.925,96.429,28,27,1,0.83591752481401,0.9859175248140101
Finish,Household Essentials,4.605,0.879,81.395,43,40,0,0.7777181422264764,0.9277181422264764
Fiskars,Home,5.0,0.958,100.0,5,5,0,0.8290517437173699,1.0
Fit System,Auto & Tires,1.0,0.336,0.0,1,0,0,0.14930070308808568,0.0
Foodsaver,Kitchen & Dining,4.31,0.817,81.261,587,493,76,0.8042944550560143,0.7542944550560143
Fox,Movies,4.068,0.809,86.715,3741,3249,276,0.8474081311715971,0.7974081311715971
Fox,Movies & TV Shows,4.304,0.867,92.867,757,705,28,0.8569183525626389,0.806918352562639
Gain,Household Essentials,4.333,0.687,16.667,6,6,0,0.4813555041252794,0.2813555041252794
General Electric,Home,4.25,0.834,75.0,4,3,0,0.6815271323717559,0.7315271323717559
Gone Fishing,Sports & Outdoors,1.0,0.294,0.0,1,0,1,0.13880070308808568,0.0
Guardian,Home,5.0,0.969,100.0,1,1,0,0.8075507030880856,1.0
Haagen-Dazs,Food,5.0,0.993,100.0,2,2,0,0.8225010406292841,1.0
Hagerty,Accessories,5.0,0.975,100.0,2,2,0,0.8180010406292841,1.0
Happy Family,Food,5.0,0.993,100.0,9,9,0,0.8490778354598416,1.0
Hawaiian Punch,Food,4.705,0.908,95.455,88,85,1,0.8476982745048074,0.9976982745048074
Head & Shoulders,Personal Care,4.308,0.827,65.664,565,522,14,0.759061700615586,0.709061700615586
Healthy Skoop,Health,5.0,0.996,100.0,1,1,0,0.8143007030880857,1.0
Heinz,Food,5.0,0.854,100.0,1,1,0,0.7788007030880858,1.0
Herbatint,Personal Care,5.0,0.782,0.0,2,2,0,0.46975104062928424,0.36975104062928427
Herr'S,Food,4.0,0.837,100.0,1,1,0,0.7245507030880857,0.8745507030880857
Hex Performance,Household Essentials,5.0,0.99,100.0,4,4,0,0.833027132371756,1.0
Hidden Valley,Food & Beverage,4.8,0.911,100.0,5,5,0,0.8073017437173698,1.0
Hollywood Beauty,Personal Care,4.333,0.755,50.0,6,5,1,0.5983545041252794,0.5983545041252794
Holmes,Home,3.5,0.619,43.75,32,21,9,0.5381827766795891,0.23818277667958912
Home Health,Personal Care,3.75,0.636,0.0,4,2,0,0.382027132371756,0.182027132371756
Honey Bunches Of Oats,Food,5.0,0.989,100.0,1,1,0,0.8125507030880857,1.0
Honeybee Gardens,Personal Care,4.333,0.717,0.0,3,3,0,0.4265014061761714,0.22650140617617137
Honeywell,Home,4.29,0.84,83.871,310,269,27,0.802814614894267,0.752814614894267
Hoover,Home,4.398,0.797,52.957,372,325,30,0.7087353933537937,0.6087353933537937
Horizon,Food & Beverage,1.0,0.212,0.0,1,0,1,0.1183007030880857,0.0
Hormel,Food,4.183,0.797,84.064,251,214,31,0.7826499915600191,0.6826499915600192
Hortense B. Hewitt,Party Supplies,5.0,0.792,0.0,1,1,0,0.4633007030880857,0.36330070308808565
Hubba Bubba,Food & Beverage,5.0,0.964,100.0,1,1,0,0.8063007030880857,1.0
Hugo Naturals,Personal Care,4.273,0.671,0.0,11,10,0,0.43625244680545555,0.23625244680545554
Hunter Fan,Home,5.0,0.979,100.0,2,2,0,0.8190010406292842,1.0
Idahoan,Food,4.909,0.965,100.0,11,11,0,0.8415524468054556,1.0
Idesign,Kitchen & Dining,4.842,0.829,47.368,19,19,0,0.6575825385479273,0.6075825385479272
Imagine Foods,Food,5.0,0.954,100.0,1,1,0,0.8038007030880857,1.0
Iman,Personal Care,4.235,0.884,94.118,17,16,1,0.7789067843466541,0.8289067843466541
Inc International Concepts,Furniture,5.0,0.991,100.0,1,1,0,0.8130507030880857,1.0
International Concepts,Home,4.75,0.792,25.0,4,4,0,0.5460271323717559,0.4460271323717559
International Delight,Food,4.746,0.917,92.537,67,66,0,0.837303461493726,0.987303461493726
Isoplus,Personal Care,5.0,0.95,100.0,3,3,0,0.8181014061761713,1.0
Istarusa,Pro Audio,3.0,0.451,0.0,1,0,0,0.27805070308808566,0.07805070308808565
J. Hunt,Home,5.0,0.853,40.0,5,5,0,0.62280174371737,0.57280174371737
J.A. Henckels,Kitchen & Dining,3.889,0.699,33.333,9,8,1,0.5200268354598416,0.3200268354598416
J.R. Watkins,Personal Care,4.5,0.869,70.0,10,9,0,0.705181736050305,0.855181736050305
Jack Link'S,Food,5.0,0.964,100.0,3,3,0,0.8216014061761713,1.0
Jake And The Neverland Pirates,Home,5.0,0.783,0.0,1,1,0,0.46105070308808566,0.3610507030880857
Jerdon,Beauty,4.111,0.783,77.778,9,7,1,0.6854618354598416,0.6854618354598416
Jergens,Personal Care,4.778,0.941,88.889,9,9,0,0.7916448354598417,0.9416448354598417
Jla Home,Home,4.444,0.824,66.667,9,8,1,0.6790288354598417,0.7290288354598418
Jnh Lifestyles,Patio & Garden,5.0,0.799,0.0,1,1,0,0.46505070308808566,0.3650507030880857
John Frieda,Personal Care,3.5,0.636,0.0,2,1,0,0.3582510406292842,0.1582510406292842
Johnson'S,Personal Care,3.812,0.766,81.25,16,13,2,0.6883910553175546,0.6883910553175546
Jolly Time,Food,4.704,0.925,96.296,27,26,0,0.8288939103014508,0.9788939103014508
Juice Beauty,Personal Care,4.133,0.69,0.0,60,54,0,0.46989445109547356,0.26989445109547355
Just For Men,Personal Care,4.19,0.83,88.702,416,382,28,0.8162818442846048,0.7662818442846049
K-Y,Personal Care,2.519,0.447,37.037,27,11,15,0.42236691030145074,0.12236691030145072
Karaoke Usa,Musical Instruments & Karaoke,2.6,0.522,40.0,5,2,1,0.4200517437173699,0.2200517437173699
Keebler,Food,3.647,0.624,0.0,34,23,3,0.4168316364970353,0.11683163649703529
Kenroy Home,Home,4.0,0.786,75.0,4,3,1,0.6570271323717559,0.6570271323717559
Keri,Personal Care,4.68,0.894,96.0,25,24,1,0.8174200325107221,0.9674200325107222
Kikkoman,Food,4.6,0.906,100.0,5,5,0,0.7960517437173699,1.0
Kind,Food,4.5,0.81,60.0,30,26,2,0.6833026867853191,0.8333026867853192
Kiss,Beauty,4.411,0.912,96.619,562,544,9,0.8782093881244175,0.8282093881244176
Klondike,Food,3.2,0.576,20.0,5,3,1,0.4035517437173699,0.2035517437173699
Kohler,Home Improvement,4.75,0.721,0.0,8,8,0,0.4662520812585684,0.3662520812585684
Kraus,Home Improvement,4.784,0.872,62.162,37,36,1,0.7239829807109961,0.8739829807109961
Krusteaz,Food & Beverage,4.875,0.93,93.75,16,15,0,0.8200410553175547,0.9700410553175547
L'Oreal Paris,Beauty,4.496,0.892,86.582,2288,2170,35,0.8783095235534111,0.8283095235534111
L'Oreal Paris,Personal Care,4.352,0.762,33.246,2683,2447,93,0.6821155933219499,0.3821155933219499
La Tortilla Factory,Food,5.0,0.964,100.0,1,1,0,0.8063007030880857,1.0
La Tourangelle,Food & Beverage,4.75,0.752,25.0,4,4,0,0.5360271323717559,0.4360271323717559
Lady Mitchum,Personal Care,4.424,0.812,72.727,33,28,5,0.7202227584056404,0.6702227584056405
Lay'S,Food,3.667,0.566,0.0,6,4,1,0.3678045041252793,0.1678045041252793
Ldr,Home Improvement,4.0,0.6,0.0,1,1,0,0.36530070308808565,0.16530070308808564
Lean Cuisine,Food,4.01,0.766,75.248,101,78,17,0.7198367990349246,0.6198367990349246
Lemi Shine,Household Essentials,4.794,0.916,92.908,423,411,6,0.8809673194517014,0.9309673194517013
Lionsgate,Featured Brands,4.66,0.919,96.226,53,52,1,0.8394818249759384,0.9894818249759384
Lionsgate,Movies,4.685,0.926,96.364,715,692,13,0.899951049350023,0.9499510493500231
Lionsgate,Movies & TV Shows,4.815,0.934,98.456,583,575,4,0.9102287770070212,0.9602287770070214
Lionsgate Home Entertainment,Movies,4.417,0.872,91.667,48,46,1,0.7997600082505587,0.8497600082505588
Lite Source,Home,3.5,0.652,37.5,8,5,1,0.4990020812585684,0.29900208125856836
Lucy'S,Food,2.0,0.283,0.0,1,0,1,0.1860507030880857,0.0
Lumisource,Home,4.645,0.877,87.097,31,28,1,0.7892945154404284,0.9392945154404284
Lundberg,Food,4.772,0.747,1.408,426,411,4,0.5632729552207529,0.36327295522075287
Lush Decor,Home,4.706,0.71,0.0,17,16,0,0.47660278434665415,0.3766027843466541
Lynk,Kitchen & Dining,5.0,0.969,100.0,3,3,0,0.8228514061761713,1.0
Lysol,Household Chemicals,4.369,0.81,73.214,336,289,32,0.7690659567048644,0.7190659567048645
Maaya Home,Furniture,4.333,0.833,66.667,27,24,1,0.6984569103014506,0.7484569103014507
Maple Grove Farms Of Vermont,Food,4.5,0.83,50.0,2,2,0,0.6067510406292842,0.7567510406292842
Maranatha,Food,3.947,0.726,63.158,19,15,4,0.6344525385479274,0.5344525385479274
Mario Badescu,Personal Care,3.0,0.544,0.0,5,3,0,0.32555174371736995,0.12555174371736993
Mars,Food & Beverage,4.6,0.842,90.0,10,9,1,0.763431736050305,0.913431736050305
Maybelline,Personal Care,3.613,0.63,17.655,742,511,126,0.5370411470328686,0.23704114703286863
Meguiars,Home,4.831,0.877,70.769,65,63,2,0.7655904797676749,0.9155904797676749
Metzeler,Auto & Tires,4.769,0.727,0.0,13,12,0,0.47845520721336504,0.37845520721336506
Mgm,Movies,4.667,0.948,100.0,3,3,0,0.8009514061761713,1.0
Michelin,Auto & Tires,4.909,0.715,0.0,11,11,0,0.4790524468054556,0.37905244680545563
Milani,Personal Care,4.083,0.808,83.333,24,20,4,0.7272032647435119,0.677203264743512
Mill Creek,Personal Care,4.6,0.749,6.667,15,14,0,0.49845381235234276,0.39845381235234273
Mineral Fusion,Personal Care,5.0,0.785,0.0,1,1,0,0.4615507030880857,0.36155070308808573
Mission Foods,Food,5.0,0.767,0.0,2,2,0,0.4660010406292842,0.36600104062928424
Mitchum,Personal Care,4.364,0.737,36.364,11,9,1,0.5663944468054556,0.3663944468054556
Moom,Personal Care,3.6,0.603,0.0,5,4,0,0.3703017437173699,0.1703017437173699
Mrs. Meyer'S,Household Chemicals,4.571,0.905,90.476,21,19,0,0.7944604391383907,0.9444604391383907
Mrs. Meyer'S,Household Essentials,4.414,0.783,27.586,29,28,0,0.5742868760891259,0.37428687608912586
Mrs. Meyer'S,Personal Care,4.833,0.922,90.0,30,29,1,0.8179526867853193,0.9679526867853193
Mrs. Smith'S,Food,4.636,0.896,90.909,11,10,0,0.7833794468054556,0.9333794468054556
Murray Cookies,Food,4.5,0.831,83.333,6,5,1,0.7257035041252793,0.8757035041252793
Musselman'S,Food,4.625,0.904,100.0,8,8,0,0.8057520812585685,1.0
National Mfg.,Kitchen & Dining,1.0,0.228,0.0,1,0,1,0.1223007030880857,0.0
Natralia,Personal Care,3.0,0.437,0.0,1,0,0,0.27455070308808566,0.07455070308808565
Nature Valley,Food & Beverage,4.73,0.914,93.651,63,60,3,0.8377572185285141,0.8877572185285142
Nature'S Path,Food,4.429,0.765,28.571,7,7,0,0.5443151092642571,0.34431510926425707
Naturtint,Personal Care,5.0,0.78,0.0,5,5,0,0.4845517437173699,0.38455174371736994
Nearly Natural,Home,4.0,0.753,50.0,10,8,0,0.591181736050305,0.591181736050305
Neato Robotics,Home,4.333,0.883,100.0,3,3,0,0.7680014061761714,0.9180014061761714
Nesco,Kitchen & Dining,4.9,0.927,90.0,10,10,0,0.799681736050305,0.949681736050305
Neutrogena,Personal Care,4.129,0.802,80.198,101,82,13,0.7496367990349244,0.6996367990349245
Newman'S Own,Food,4.091,0.797,81.818,11,9,1,0.7041064468054556,0.7041064468054556
Newman'S Own Organics,Food,3.333,0.541,0.0,6,3,0,0.3448545041252794,0.1448545041252794
Nexxus,Personal Care,1.55,0.28,12.29,773,102,532,0.3311984502356951,0.03119845023569509
Nielsen,Home,3.583,0.725,83.333,12,10,2,0.6670183294226364,0.6670183294226364
Nivea,Personal Care,4.577,0.88,85.135,222,204,11,0.823614253188558,0.873614253188558
No Brand,Home,4.0,0.688,33.333,3,2,0,0.5026004061761714,0.3026004061761714
No-Ad,Personal Care,1.0,0.3,0.0,1,0,0,0.14030070308808568,0.0
Nojo,Baby,4.0,0.745,75.0,8,6,1,0.6597520812585684,0.6597520812585684
Noosa,Food,5.0,0.974,100.0,1,1,0,0.8088007030880857,1.0
Nordic Games,Video Games,3.5,0.717,83.333,12,10,2,0.6608683294226363,0.6608683294226363
Nordicware,Party & Occasions,1.0,0.1,0.0,1,0,1,0.0903007030880857,0.0
Northwest,Home,4.5,0.714,0.0,8,8,0,0.4520020812585684,0.3520020812585684
Nourish Organic,Personal Care,3.0,0.48,0.0,3,1,0,0.30060140617617137,0.10060140617617136
Nutri-Grain,Food,4.531,0.898,93.75,32,31,1,0.8094827766795891,0.9594827766795891
Nyx,Personal Care,4.658,0.88,71.171,111,106,1,0.7705703164776221,0.9205703164776221
Obagi,Personal Care,4.9,0.724,0.0,10,10,0,0.47893173605030503,0.378931736050305
Ocean Potion,Personal Care,4.0,0.86,100.0,2,2,0,0.7392510406292843,0.8892510406292843
Ogx,Personal Care,4.789,0.867,57.895,38,38,0,0.7107553700519206,0.8607553700519206
Olay,Personal Care,4.194,0.737,24.561,3420,3093,64,0.6472663509445721,0.34726635094457203
Olivella,Personal Care,3.333,0.601,0.0,3,2,0,0.3475014061761714,0.1475014061761714
Olly,Health,3.179,0.56,3.571,28,17,5,0.38399352481401,0.08399352481400998
On-Stage,Pro Audio,5.0,0.774,0.0,2,2,0,0.46775104062928424,0.36775104062928426
One Grace Place,Home,4.0,0.798,75.0,4,4,0,0.660027132371756,0.660027132371756
Opti-Free,Personal Care,4.254,0.787,75.446,224,186,34,0.7553443460020804,0.6553443460020805
Orajel,Personal Care,4.475,0.834,85.246,61,54,7,0.7790913898734049,0.7290913898734049
Ore International,Home,4.75,0.873,75.0,4,4,0,0.7162771323717559,0.866277132371756
Organic Root Stimulator,Personal Care,4.0,0.872,100.0,1,1,0,0.7333007030880857,0.8833007030880857
Ortega,Food,5.0,0.773,50.0,2,2,0,0.6175010406292842,0.7175010406292842
Oxiclean,Household Chemicals,3.877,0.769,71.739,138,106,15,0.7102418036553206,0.6102418036553207
Oxy,Personal Care,3.833,0.623,0.0,12,7,1,0.4040193294226364,0.2040193294226364
Pacific Natural Foods,Food,5.0,0.96,100.0,1,1,0,0.8053007030880858,1.0
Palladio,Personal Care,5.0,0.779,0.0,1,1,0,0.46005070308808566,0.3600507030880857
Pantene,Beauty,4.201,0.822,86.609,463,406,42,0.8109103371663527,0.7609103371663528
Pantene,Personal Care,4.333,0.748,28.125,192,170,9,0.6041949308362856,0.30419493083628557
Paramount Pictures,Movies,4.579,0.922,98.171,328,322,2,0.8819066189211898,1.0
Peak,Home,3.0,0.469,0.0,1,0,0,0.28255070308808566,0.08255070308808565
Pearhead,Gift Finder,4.0,0.846,100.0,1,1,0,0.7268007030880858,0.8768007030880858
Pendaflex,School & Office Supplies,4.166,0.848,90.489,368,351,1,0.822243393760208,0.8722433937602081
Peppa Pig,Household Essentials,5.0,0.989,100.0,2,2,0,0.8215010406292842,1.0
Petmaker,Pets,4.5,0.741,25.0,4,4,0,0.520777132371756,0.420777132371756
Physician'S Formula,Personal Care,4.5,0.825,63.636,22,19,1,0.6913716783901884,0.8413716783901884
Pillow Perfect,Patio & Garden,2.0,0.46,0.0,1,0,0,0.2303007030880857,0.03030070308808569
Pinaud,Personal Care,5.0,0.747,0.0,7,7,0,0.48265210926425706,0.382652109264257
Pioneer,Home,4.167,0.787,66.667,12,10,1,0.6617203294226364,0.6617203294226364
Pirate'S Booty,Food,4.5,0.725,0.0,2,2,0,0.43050104062928424,0.33050104062928426
Plano,Sports & Outdoors,4.2,0.65,0.0,5,4,0,0.41205174371736997,0.21205174371736996
Planters,Food,4.833,0.923,97.619,42,41,1,0.848282665889041,0.998282665889041
Pleasant Hearth,Home,4.69,0.797,31.034,58,56,1,0.6168605746714766,0.5168605746714765
Pleasant Hearth,Home Improvement,4.0,0.71,27.778,54,43,3,0.5492928684220609,0.24929286842206091
Plum Organics,Food,4.5,0.928,100.0,2,2,0,0.7812510406292842,1.0
