brand_clean,category_level_1,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_count,negative_count,base_score,recommendation_score
Porcelana,Personal Care,5.0,0.983,100.0,1,1,0,0.8110507030880857,1.0
Power Crunch,Food,4.475,0.858,87.5,40,35,4,0.7827243125016397,0.7327243125016397
Progresso,Food,4.172,0.812,82.759,29,24,3,0.7349558760891258,0.6849558760891259
Queen Helene,Personal Care,3.812,0.655,18.75,16,12,1,0.47314105531755457,0.27314105531755456
Quilted Northern,Household Essentials,4.826,0.926,95.83,1439,1410,20,0.9208227290707528,0.9708227290707528
Ragu,Food,4.483,0.864,91.667,60,55,5,0.8058954510954736,0.7558954510954736
Rc Cola,Food,5.0,0.948,100.0,2,2,0,0.8112510406292841,1.0
Reebok,Clothing,4.8,0.744,0.0,5,5,0,0.4655517437173699,0.3655517437173699
Reynolds,Household Essentials,5.0,0.836,50.0,2,2,0,0.6332510406292842,0.7832510406292842
Rizzy Home,Home,5.0,0.986,100.0,1,1,0,0.8118007030880857,1.0
Roommates,Home,4.667,0.925,91.667,12,11,0,0.7962203294226363,0.9462203294226363
Rubbermaid,Household Essentials,2.801,0.527,42.187,1939,874,751,0.5654728453534764,0.26547284535347637
Rubbermaid Lock-Its,Kitchen & Dining,2.429,0.525,28.571,14,4,0,0.3981911730010402,0.19819117300104017
Ruffles,Food & Beverage,5.0,0.954,100.0,2,2,0,0.8127510406292842,1.0
Sabra,Home,4.385,0.837,84.615,13,11,2,0.7406002072133651,0.7906002072133651
Safavieh,Home,4.2,0.751,40.0,5,5,0,0.55730174371737,0.35730174371736995
Safavieh,Patio & Garden,3.0,0.78,100.0,1,1,0,0.6603007030880857,0.7603007030880857
Sally Hansen,Personal Care,3.546,0.615,15.966,119,80,24,0.48462828226529725,0.18462828226529723
Samsung,Mobile,3.759,0.69,68.293,328,225,72,0.6932726189211897,0.5932726189211898
Sanrio,Featured Brands,5.0,0.986,100.0,1,1,0,0.8118007030880857,1.0
Sc Johnson,Household Chemicals,4.875,0.755,0.0,8,8,0,0.4810020812585684,0.38100208125856844
Sc252Nci,Featured Brands,4.2,0.77,60.0,10,7,1,0.635431736050305,0.635431736050305
Schwarzkopf,Beauty,4.1,0.675,0.0,10,8,0,0.426681736050305,0.226681736050305
Scotty,Sports & Outdoors,4.0,0.627,0.0,1,1,0,0.3720507030880857,0.17205070308808568
Sea Gull Lighting,Home,4.429,0.757,28.571,7,6,0,0.5423151092642571,0.34231510926425707
Season Seafood,Food,5.0,0.99,100.0,1,1,0,0.8128007030880857,1.0
Sebastian,Personal Care,3.5,0.55,0.0,2,1,0,0.33675104062928424,0.13675104062928423
Shea Moisture,Personal Care,4.376,0.773,43.564,101,88,8,0.6448347990349246,0.34483479903492453
Simple Green,Household Chemicals,5.0,0.923,75.0,4,4,0,0.741277132371756,0.891277132371756
Simply Shabby Chic,Brand Shop,4.75,0.76,0.0,12,12,0,0.48411932942263636,0.3841193294226363
Sinful,Personal Care,4.875,0.97,100.0,8,8,0,0.8347520812585684,1.0
Sizzix,Home,4.889,0.747,5.556,18,18,0,0.5128642776229104,0.4128642776229104
Skittles,Food & Beverage,3.0,0.599,50.0,4,2,1,0.48527713237175596,0.48527713237175596
Sloan Valve Company,Home Improvement,5.0,0.7,0.0,1,1,0,0.44030070308808567,0.34030070308808563
Smart Start,Food,5.0,0.983,100.0,4,4,0,0.8312771323717559,1.0
Smead,School & Office Supplies,4.81,0.94,95.041,121,119,0,0.8666681541835592,1.0
Smooth 'N Shine,Beauty,5.0,0.99,100.0,2,2,0,0.8217510406292842,1.0
Snyder'S Of Hanover,Food,4.0,0.863,100.0,4,4,0,0.751277132371756,0.901277132371756
Sobe,Food,4.0,0.868,100.0,1,1,0,0.7323007030880858,0.8823007030880858
Soft Scrub,Household Chemicals,4.375,0.757,37.5,8,7,1,0.5690020812585684,0.3690020812585684
Softsoap,Personal Care,4.539,0.875,90.071,141,128,10,0.8253091578304371,0.8753091578304372
Solo Foods,Food,4.462,0.779,46.154,13,12,1,0.6145672072133651,0.4145672072133651
Sony,Electronics,4.148,0.801,82.451,359,298,40,0.7849343228945815,0.7349343228945816
Sony,Movies,4.429,0.853,85.714,7,6,1,0.737744109264257,0.7877441092642571
Sony,Photography,4.75,0.965,100.0,4,4,0,0.814277132371756,1.0
Sony Music,Movies,4.652,0.875,66.667,66,65,0,0.7441664296090404,0.8941664296090405
Sony Music,Music on CD or Vinyl,4.698,0.913,94.413,179,171,5,0.8610196198064958,0.9110196198064958
Sony Pictures,Movies,4.357,0.848,89.82,2161,1948,128,0.8688134962741846,0.8188134962741846
Soothing Touch,Personal Care,4.5,0.699,0.0,6,5,0,0.44270450412527934,0.34270450412527936
South Shore,Furniture,3.5,0.637,0.0,6,5,0,0.37720450412527934,0.17720450412527933
Southern Enterprises,Furniture,5.0,0.948,100.0,1,1,0,0.8023007030880857,1.0
Spam,Food,4.625,0.91,100.0,8,8,0,0.8072520812585685,1.0
Stacy'S,Food,4.269,0.773,73.077,26,20,4,0.6986841218878527,0.5986841218878527
Stander,Health,4.692,0.894,84.615,13,13,0,0.7702002072133651,0.9202002072133652
Starbucks,Food & Beverage,4.857,0.892,85.714,7,6,0,0.768894109264257,0.9188941092642571
Starbucks Coffee,Food & Beverage,4.688,0.902,93.75,32,30,1,0.8183327766795891,0.9683327766795892
Stauffer'S,Food,4.733,0.734,0.0,15,14,0,0.48135281235234273,0.3813528123523427
Stonyfield,Food,5.0,0.982,100.0,1,1,0,0.8108007030880857,1.0
Storkcraft,Baby,4.237,0.85,88.346,266,237,25,0.8127223151340915,0.7627223151340916
Stridex,Personal Care,4.579,0.708,0.0,19,17,0,0.47207853854792736,0.37207853854792733
Suave,Personal Care,4.135,0.797,78.475,223,179,35,0.7608830195657078,0.6608830195657078
Summer'S Eve,Personal Care,4.833,0.921,97.222,36,35,0,0.8432742991987172,0.9932742991987172
Summit Entertainment,Movies,3.714,0.843,100.0,7,7,0,0.7423521092642571,0.8923521092642571
Summit Entertainment,Movies & TV Shows,4.586,0.914,96.806,814,791,11,0.8961858399347017,0.9461858399347017
Suncoat,Personal Care,3.4,0.558,0.0,5,4,0,0.3490517437173699,0.1490517437173699
Super Poligrip,Personal Care,4.583,0.824,70.833,24,22,1,0.718703264743512,0.868703264743512
Suzie'S,Food,5.0,0.749,0.0,1,1,0,0.4525507030880857,0.3525507030880857
Swann,Home,3.333,0.429,33.333,3,1,2,0.40450040617617145,0.20450040617617143
Swingline,School & Office Supplies,5.0,0.975,100.0,3,3,0,0.8243514061761713,1.0
Tai Pei,Food,3.7,0.68,70.0,20,14,6,0.6322055447545635,0.5322055447545635
Target.Com Use Only,Movies,4.523,0.893,93.051,331,318,5,0.8566969916900493,0.9066969916900492
Teamson,Home,4.0,0.85,100.0,1,1,0,0.7278007030880856,0.8778007030880857
Teenage Mutant Ninja Turtles,Kids' Rooms,4.4,0.72,0.0,5,4,0,0.43955174371736994,0.23955174371736992
The Honest Company,Household Chemicals,4.462,0.738,7.692,39,35,1,0.512105241636013,0.312105241636013
The Honest Company,Personal Care,5.0,0.848,25.0,4,4,0,0.5725271323717559,0.522527132371756
The Laundress,Household Chemicals,4.667,0.938,88.889,9,9,0,0.7853448354598417,0.9353448354598417
The Seaweed Bath Co.,Personal Care,4.111,0.734,33.333,9,7,0,0.5398768354598417,0.33987683545984165
Tide,Household Chemicals,4.604,0.858,59.968,1886,1848,8,0.791104395145556,0.841104395145556
Tide,Household Essentials,3.933,0.729,62.321,3498,2679,677,0.7459939995874239,0.6459939995874239
Tillamook,Food,5.0,0.953,100.0,6,6,0,0.8312045041252792,1.0
Tim Holtz,Home,5.0,0.753,14.286,7,7,0,0.5270101092642571,0.42701010926425703
Timekeeper,Home,5.0,0.993,100.0,1,1,0,0.8135507030880856,1.0
Tom'S Of Maine,Personal Care,4.63,0.788,25.926,27,26,0,0.5798339103014507,0.4798339103014507
Tostitos,Food,4.624,0.889,94.425,287,272,13,0.8617305966989969,0.9117305966989969
Touch Of Color,Party & Occasions,3.0,0.66,100.0,1,1,0,0.6303007030880857,0.7303007030880857
Toy Story,Holiday Shop,2.0,0.402,0.0,4,0,1,0.23602713237175602,0.036027132371756004
Tramontina,Kitchen & Dining,5.0,0.974,100.0,4,4,0,0.829027132371756,1.0
Tree Hut,Personal Care,4.31,0.843,86.207,29,25,3,0.7599498760891258,0.7099498760891259
Trend,School & Office Supplies,3.333,0.634,66.667,6,4,2,0.5681055041252794,0.5681055041252794
Trend Lab,Baby,4.364,0.705,0.0,11,10,0,0.44930244680545556,0.24930244680545555
Trend Lab,Home,3.0,0.593,0.0,2,2,0,0.32250104062928425,0.12250104062928424
Tresemme,Personal Care,4.448,0.848,86.207,58,51,6,0.7830295746714765,0.7330295746714766
Udi'S,Food,1.0,0.386,0.0,1,0,0,0.1618007030880857,0.0
Umgd,Movies,4.697,0.933,100.0,33,32,0,0.8459417584056403,1.0
Universal,Movies,4.0,0.89,100.0,2,2,0,0.7467510406292841,0.8967510406292841
Universal,Movies & TV Shows,4.333,0.814,83.333,6,5,1,0.7131035041252793,0.7631035041252794
Universal Home Entertainment,Movies,5.0,0.798,16.667,12,12,0,0.5561203294226363,0.4561203294226363
Universal Home Video,Featured Brands,4.685,0.93,97.459,5510,5377,60,0.9492856437489585,0.9992856437489587
Universal Home Video,Movies,4.491,0.898,94.91,668,634,21,0.8773902938178421,0.8273902938178421
Universal Music,Movies,5.0,0.776,0.0,1,1,0,0.4593007030880857,0.35930070308808565
Universal Music,Music on CD or Vinyl,4.618,0.905,94.118,34,32,1,0.8179856364970353,0.9679856364970353
Universal Studios Home Entert.,Movies,4.757,0.939,98.571,70,69,0,0.8624084547423514,1.0
Ust,Home,4.667,0.778,33.333,9,8,1,0.5786768354598417,0.4786768354598417
Uttermost,Home,5.0,0.787,0.0,2,2,0,0.4710010406292842,0.37100104062928424
Vaseline,Personal Care,4.744,0.92,91.86,258,248,5,0.8654428033239966,0.9154428033239966
Vicks,Personal Care,4.356,0.779,63.366,101,87,13,0.7047407990349245,0.6047407990349245
Voortman,Food,5.0,0.942,100.0,4,4,0,0.821027132371756,1.0
Vornado,Home,4.182,0.783,72.727,22,17,3,0.6922446783901886,0.5922446783901886
Wagan,Home,3.0,0.575,60.0,5,3,2,0.5133017437173699,0.5133017437173699
Walkers,Food,5.0,0.978,100.0,1,1,0,0.8098007030880857,1.0
Warner Bros.,Featured Brands,4.36,0.893,100.0,25,25,0,0.8131700325107221,0.9631700325107221
Warner Bros.,Movies,4.541,0.904,95.356,1895,1814,48,0.9057234274537899,0.9557234274537899
Warner Home Video,Movies,4.35,0.868,93.123,3330,3109,125,0.8929138438254394,0.8429138438254394
Warner Manufacturing,Movies,4.286,0.763,28.571,7,7,0,0.536665109264257,0.336665109264257
Warner Music Group,Music on CD or Vinyl,4.693,0.915,95.122,205,197,4,0.8663748623528446,0.9163748623528446
Way Basics,Home,3.818,0.639,0.0,11,8,2,0.4055024468054556,0.2055024468054556
Wea,Movies,4.308,0.836,87.692,65,57,7,0.7799594797676749,0.729959479767675
Weather Tech,Auto & Tires,4.833,0.744,0.0,12,12,0,0.48426932942263634,0.3842693294226363
Weleda,Personal Care,4.625,0.752,0.0,8,7,0,0.46775208125856843,0.36775208125856845
Wet N Wild,Personal Care,5.0,0.976,100.0,2,2,0,0.8182510406292842,1.0
Wheat Thins,Food,4.5,0.856,91.667,12,11,1,0.7706203294226364,0.9206203294226364
Wild Planet,Food,4.875,0.836,37.5,8,8,0,0.6137520812585685,0.5637520812585686
Wilton,Kitchen & Dining,5.0,0.964,100.0,1,1,0,0.8063007030880857,1.0
Windex,Household Essentials,4.129,0.78,79.31,348,280,62,0.7686263124045828,0.6686263124045828
Wish-Bone,Food,4.8,0.949,100.0,5,5,0,0.8168017437173699,1.0
Yardley,Personal Care,5.0,0.782,0.0,1,1,0,0.4608007030880857,0.3608007030880857
Yes To Carrots,Personal Care,4.667,0.894,81.818,66,61,3,0.7951194296090405,0.8451194296090405
Yes To Grapefruit,Personal Care,3.846,0.767,79.487,39,32,6,0.7039402416360131,0.6039402416360131
Yosemite Home Decor,Home,1.0,0.448,100.0,1,0,0,0.47730070308808564,0.5773007030880857
Zyliss,Kitchen & Dining,4.644,0.747,10.169,59,55,2,0.5398365791772116,0.4398365791772116
