brand_clean,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_sentiment_pct,affinity_score
Tostitos,4.624,0.889,94.425,287,94.77,0.922
The Laundress,4.667,0.938,88.889,9,100.0,0.917
Nutri-Grain,4.531,0.898,93.75,32,96.88,0.916
Coty,4.629,0.893,92.453,159,92.45,0.915
Cerave,4.65,0.887,92.5,40,92.5,0.915
Universal Music,4.629,0.901,91.429,35,94.29,0.914
Target.Com Use Only,4.523,0.893,93.051,331,96.07,0.911
Mrs. Smith'S,4.636,0.896,90.909,11,90.91,0.911
Anchor Bay,4.767,0.922,86.667,30,100.0,0.909
Baby Jogger,4.0,0.895,100.0,1,100.0,0.908
Curel,4.519,0.888,92.593,81,95.06,0.908
Care Free Curl,4.846,0.917,84.615,13,100.0,0.904
Organic Root Stimulator,4.0,0.872,100.0,1,100.0,0.902
Starbucks,4.857,0.892,85.714,7,85.71,0.902
Anti Monkey Butt,4.855,0.889,85.507,69,97.1,0.9
Sobe,4.0,0.868,100.0,1,100.0,0.9
Sony Music,4.686,0.903,86.939,245,96.33,0.9
Snyder'S Of Hanover,4.0,0.863,100.0,4,100.0,0.899
Ocean Potion,4.0,0.86,100.0,2,100.0,0.898
Iman,4.235,0.884,94.118,17,94.12,0.896
Ragu,4.483,0.864,91.667,60,91.67,0.895
Softsoap,4.539,0.875,90.071,141,90.78,0.895
Teamson,4.0,0.85,100.0,1,100.0,0.895
Pearhead,4.0,0.846,100.0,1,100.0,0.894
Warner Home Video,4.35,0.868,93.123,3330,93.36,0.894
Lionsgate Home Entertainment,4.417,0.872,91.667,48,95.83,0.893
Wheat Thins,4.5,0.856,91.667,12,91.67,0.893
Ben & Jerry'S,4.818,0.92,81.818,11,100.0,0.892
Bestway,4.75,0.855,87.5,8,87.5,0.892
Herr'S,4.0,0.837,100.0,1,100.0,0.891
Lumisource,4.645,0.877,87.097,31,90.32,0.89
Mars,4.6,0.842,90.0,10,90.0,0.889
Stander,4.692,0.894,84.615,13,100.0,0.888
Air Wick,4.636,0.881,86.364,22,100.0,0.888
Africa'S Best,4.444,0.863,88.889,9,88.89,0.881
Nivea,4.577,0.88,85.135,222,91.89,0.879
Simple Green,5.0,0.923,75.0,4,100.0,0.877
Power Crunch,4.475,0.858,87.5,40,87.5,0.876
Conair,4.519,0.87,86.076,79,92.41,0.876
Chex,4.379,0.85,89.655,29,89.66,0.876
Sony Pictures,4.357,0.848,89.82,2161,90.14,0.875
Yes To Carrots,4.667,0.894,81.818,66,92.42,0.875
Burt'S Bees,4.63,0.891,82.28,965,95.23,0.874
Tresemme,4.448,0.848,86.207,58,87.93,0.866
Finish,4.605,0.879,81.395,43,93.02,0.866
Chobani,4.4,0.833,88.0,25,88.0,0.866
Pendaflex,4.166,0.848,90.489,368,95.38,0.866
Storkcraft,4.237,0.85,88.346,266,89.1,0.863
Wea,4.308,0.836,87.692,65,87.69,0.86
Orajel,4.475,0.834,85.246,61,88.52,0.86
Bumble Bee,4.364,0.838,86.364,22,86.36,0.859
Chips Ahoy,4.408,0.834,85.915,71,87.32,0.858
Tree Hut,4.31,0.843,86.207,29,86.21,0.856
Aussie,4.253,0.848,86.316,95,86.32,0.855
Criterion Collection Inc,4.923,0.909,71.795,39,100.0,0.855
Universal,4.25,0.833,87.5,8,87.5,0.855
Just For Men,4.19,0.83,88.702,416,91.83,0.855
Murray Cookies,4.5,0.831,83.333,6,83.33,0.853
Sabra,4.385,0.837,84.615,13,84.62,0.853
Bengay,4.222,0.813,88.889,9,88.89,0.853
Bedtime Originals,4.333,0.852,83.333,6,83.33,0.849
Ore International,4.75,0.873,75.0,4,100.0,0.847
Honeywell,4.29,0.84,83.871,310,86.77,0.845
Fox,4.108,0.819,87.75,4498,87.91,0.843
Meguiars,4.831,0.877,70.769,65,96.92,0.836
Cuisinart,4.388,0.85,78.448,116,92.24,0.832
Foodsaver,4.31,0.817,81.261,587,83.99,0.829
Nyx,4.658,0.88,71.171,111,95.5,0.828
Hormel,4.183,0.797,84.064,251,85.26,0.826
Progresso,4.172,0.812,82.759,29,82.76,0.825
Sony,4.159,0.804,82.703,370,83.24,0.822
Milani,4.083,0.808,83.333,24,83.33,0.821
Newman'S Own,4.091,0.797,81.818,11,81.82,0.812
J.R. Watkins,4.5,0.869,70.0,10,90.0,0.811
Neutrogena,4.129,0.802,80.198,101,81.19,0.809
Mrs. Meyer'S,4.612,0.867,67.5,80,95.0,0.807
Super Poligrip,4.583,0.824,70.833,24,91.67,0.806
General Electric,4.25,0.834,75.0,4,75.0,0.805
Annie'S,4.5,0.839,70.0,10,90.0,0.802
Suave,4.135,0.797,78.475,223,80.27,0.801
Alera,3.0,0.737,100.0,1,100.0,0.801
Lady Mitchum,4.424,0.812,72.727,33,84.85,0.8
Windex,4.129,0.78,79.31,348,80.46,0.799
Lysol,4.369,0.81,73.214,336,86.01,0.798
Kraus,4.784,0.872,62.162,37,97.3,0.797
Jerdon,4.111,0.783,77.778,9,77.78,0.793
Opti-Free,4.254,0.787,75.446,224,83.04,0.793
Johnson'S,3.812,0.766,81.25,16,81.25,0.784
Colorbok,4.0,0.777,76.923,13,76.92,0.781
Jla Home,4.444,0.824,66.667,9,88.89,0.781
Stacy'S,4.269,0.773,73.077,26,76.92,0.78
Yes To Grapefruit,3.846,0.767,79.487,39,82.05,0.779
Ogx,4.789,0.867,57.895,38,100.0,0.779
One Grace Place,4.0,0.798,75.0,4,100.0,0.779
Touch Of Color,3.0,0.66,100.0,1,100.0,0.778
Vornado,4.182,0.783,72.727,22,77.27,0.777
Maaya Home,4.333,0.833,66.667,27,88.89,0.777
Kenroy Home,4.0,0.786,75.0,4,75.0,0.776
Banana Boat,4.216,0.804,70.27,74,86.49,0.775
Pantene,4.24,0.8,69.466,655,87.94,0.772
Physician'S Formula,4.5,0.825,63.636,22,86.36,0.772
Baby Banana,4.684,0.86,57.895,19,94.74,0.771
Lean Cuisine,4.01,0.766,75.248,101,77.23,0.771
Head & Shoulders,4.308,0.827,65.664,565,92.39,0.769
Nielsen,3.583,0.725,83.333,12,83.33,0.766
Almay,4.571,0.827,60.714,28,89.29,0.765
Nojo,4.0,0.745,75.0,8,75.0,0.764
Bareminerals,5.0,0.871,50.0,2,100.0,0.761
Nordic Games,3.5,0.717,83.333,12,83.33,0.758
Adesso,5.0,0.857,50.0,2,100.0,0.757
